cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,concrete_compressive_strength
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3,13.62
155.0,0.0,143.0,193.0,9.0,1047.0,697.0,28,12.46
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14,22.32
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,7,14.2
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,100,37.96
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89
359.0,19.0,141.0,154.0,10.9,942.0,801.0,7,38.61
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100,45.84
160.2,188.0,146.4,203.2,11.3,828.7,709.7,28,35.31
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3,11.65
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,100,40.15
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270,74.17
303.6,139.9,0.0,213.5,6.2,895.5,722.5,28,33.42
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,14,24.43
155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28,37.36
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,68.3
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7,19.77
446.0,24.0,79.0,162.0,10.3,967.0,712.0,56,54.77
151.0,0.0,184.0,167.0,12.0,991.0,772.0,28,15.57
355.0,19.0,97.0,145.0,13.1,967.0,871.0,28,44.03
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.92
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93
393.0,0.0,0.0,192.0,0.0,940.0,758.0,90,48.79
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3,4.9
133.0,210.0,0.0,196.0,3.0,949.0,795.0,28,31.03
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4
238.1,0.0,94.1,186.7,7.0,949.9,847.0,100,44.3
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,67.31
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7
200.0,133.0,0.0,192.0,0.0,965.4,806.2,28,30.44
310.0,0.0,0.0,192.0,0.0,1012.0,830.0,3,11.85
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,17.54
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,28,37.4
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,73.3
310.0,0.0,0.0,192.0,0.0,970.0,850.0,360,38.11
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28,25.72
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14,36.99
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7,21.86
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,35.34
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04
298.0,0.0,107.0,210.0,11.0,880.0,744.0,28,31.87
122.6,183.9,0.0,203.5,0.0,958.2,800.1,3,3.32
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14,31.35
